name,425,435,445,455,465,475,485,495,505,515,525,535,545,555,565,575,585,595,605,615,625,635,645,655,665,675,685,695,705,715,725,735
Dapi,1,0.991835,0.932374,0.880711,0.779411,0.520825,0.009391,0.078326,0.305879,0.244624,0.182782,0.146041,0.133897,0.012251,0.000491,0.051461,0.048376,0.052154,0.034456,0.026699,0.017847,0.000225,0.001498,0.016982,0.010996,0.011813,0.009172,0.008491,0.005311,0.009356,0.007117,0.003162
MANCR,0.018866,0.002758,0.009874,0.000993,0.010977,0.000276,0.004027,0,0.030671,0.024713,0.000441,0.017873,0.056101,0.018314,0.005682,1,0.825022,0.631454,0.613581,0.344495,0.380847,0.01688,0.014232,0.186562,0.07585,0.120808,0.021514,0.063824,0.022176,0.003255,0.001545,0.006454
Runx2,0.063533,0.043671,0.02674,0.0558,0.029019,0.030647,0.001832,0.008669,0.030606,0.049939,0.03895,0.051486,0.041962,0.013675,0.002727,0.049084,0.044363,0.037118,0.022182,0.011396,0.037566,4.1e-05,0.004477,0.035083,0.091372,0.187912,0.645462,0.939601,1,0.991412,0.797599,0.549735
tp63,0.141392,0.008059,0.005128,0.003419,0.002442,0.002198,0.005861,0.003419,0.068376,0.002198,0.044444,0.003175,0.00464,0.004151,0.003419,0.341148,0.346764,0.749939,1,1,1,0.022222,0.151648,0.618315,0.448352,0.563858,0.383639,0.284982,0.276923,0.169963,0.260562,0.015629
