25.25972,25.26856,25.12706
24.3328,23.76973,24.326
44.19237,44.52527,44.13324
24.90989,25.04496,24.97293
38.10323,37.75248,38.05715
17.03461,17.02939,16.92999
4.452780,3.605551,3.639937
6.595943,6.324555,6.336635
6.075268,6.020797,5.817902
25.848856,25.612497,25.735748
20.093234,19.780040,20.020381
5.587589,5.147815,5.438791
7.504423,7.516648,7.272604
23.756260,23.194827,23.761085
31.292749,30.991934,31.249046
3.465301,3.000000,2.535955
3.403164,2.549510,2.534591
48.497779,49.040799,48.301723
44.208056,44.181444,44.385720
5.778220,5.700877,5.494117
